sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BRX-TX1,5,1145,887,1209,483,2447,0.0,0.549390176903637,31.677923442478846
SLX-TX1,5,953,699,1233,684,1459,0.0,0.5474652359575167,31.56650333953794
BRX-TX2,5,1085,700,1267,692,2072,0.0,0.5028663381273257,28.995253413205273
SLX-TX2,5,1206,877,1672,490,2308,0.0,0.5224114512590116,30.122223872897294
TOTAL,20,1097,700,2072,483,2447,0.0,1.7898693395382137,103.20362140907464
