sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BRX-TX1,5,1367,1307,1579,655,2434,0.0,0.3603343903142116,20.850482059851544
SLX-TX1,5,1831,1320,2242,673,4060,0.0,0.388651379712398,22.48902363486203
BRX-TX2,5,1629,1115,1254,659,4276,0.0,0.36552379559909354,21.150977319248483
SLX-TX2,5,1005,854,1330,656,1437,0.0,0.3885305773564379,22.481957611314012
TOTAL,20,1458,1115,2434,655,4276,0.0,1.3339558460614953,77.18849525611952
