sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BRX-TX1,5,1194,1451,1467,659,1551,0.0,0.49751243781094523,28.788576648009947
SLX-TX1,5,1042,1049,1462,492,1553,0.0,0.44122837980938934,25.531352723482172
SLX-TX2,5,1386,843,1553,471,3413,0.0,0.4799385678633135,27.77194519101555
BRX-TX2,5,938,668,858,464,2050,0.0,0.5592215635834917,32.35926839838944
TOTAL,20,1140,843,1553,464,3413,0.0,1.668335001668335,96.53810711753421
