sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
SLX-TX1,5,989,1118,1247,655,1267,0.0,0.4339524388127062,25.109996772478734
BRX-TX1,5,914,1057,1252,280,1329,0.0,0.5136106831022086,29.719700982280433
BRX-TX2,5,1199,876,1258,467,2551,0.0,0.5404821100421576,31.274912847259756
SLX-TX2,5,1445,852,2428,666,2432,0.0,0.45203869451225026,26.156795271675257
TOTAL,20,1137,876,2428,280,2551,0.0,1.6406890894175554,94.9370962366694
